2,数量,ISBN,,非卖,位置,书名,定价,出版社,作者,出版时间,语言,一级分类,二级分类,简介,推荐人,渠道,绝版,,,,,,,,,,,,,
,2,9787208131170 ,,,,城市秩序：城市、文化与权力导论,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787112138272 ,,,,城市日常生活,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787515517537 ,,,,抽象与移情,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787563390939 ,,,,穿墙透壁,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787560862699 ,,,,画语营城：DC建筑的文化绘本,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787560879048 ,,,,人本建筑：潘冀联合建筑师事务所的建筑实践,,,,,,,,,,,,,,,,,,,,,,,,
,0,9787556838493 ,,,,窗,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787521711066 ,,,,创造未来城市,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787540492236 ,,,,从大都到上都,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787112214716 ,,,,从绘图到建筑物的翻译及其他文章,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787559638250 ,,,,从那霸到上海,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787532176120 ,,,,单读24：走出孤岛,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787559827944 ,,,,当代艺术的十九副面孔：大师与我们的时代,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787208140622 ,,,,当工作消失时：城市新穷人的世界,,,,,,,,,,,,,,,,,,,,,,,,
,4,9787540453992 ,,,书架1 抽屉3,岛屿书,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787564155605 ,,,,维多利亚哥特与中国现代志异,,,,,,,,,,,,,,,,,,,,,,,,
,4,9787309142594 ,,,书架2 抽屉2,地理媒介：网络化城市与公共空间的未来,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787221115348 ,,,,地图 人文版,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787221148551 ,,,,地图 人文版,,,,,,,,,,,,,,,,,,,,,,,,
,4,9787514617863 ,,,,灯塔之书,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787108052780 ,,,,癫狂的纽约：给曼哈顿补写的宣言,,,,,,,,,Local本地,,,,,,,,,,,,,,,
,3,9787568905671 ,,,,点线面,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787532773107 ,,,,东北游记,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787559621924 ,,,,东方游记 Le Voyage d'Orient,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787108065742 ,,,,东方学,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787208139008 ,,,,东京本屋,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787112220922 ,,,,东京的空间人类学,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787532756278 ,,TRUE,,东京见便录,,,,,,,,,,,,,,,,,,,,,,,,
,0,9787521708660 ,,,,东京老铺,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787521704204 ,,,,东京艺术之旅：建筑,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787535684127 ,,,,东南园墅,,,,,,,,,,,,,,,,,,,,,,,,
,3,9787542664051 ,,,,冬泳,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787561812976 ,,,,都市村庄,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787565637148 ,,,,都市革命,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787542629296 ,,,,都市空间与文化想象,,,,,,,,,,,,,,,,,,,,,,,,
,3,9787532148004 ,,,,繁花,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787544756426 ,,,,仿生人会梦见电子羊么,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787540492236 ,,,,访古寻城,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787520137362 ,,,,非凡抄本寻访录,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787559619433 ,,,,非平面,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787807683070 ,,,,废品生活,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787208143487 ,,,,废墟的故事,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787561329474 ,,,,风格与时代,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787219109861 ,,,,风险社会学,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787560856742 ,,,,凤凰之家,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787562473329 ,,,,缝纫机、蝙蝠伞邂逅于手术台：现代艺术新解,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787550317031 ,,,,弗兰克·盖里传,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787559433046 ,,,展板1,浮世理发馆,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787208135208 ,,,展板1,浮世澡堂,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787209043519 ,,,,负建筑,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787559806093 ,,,,隔间：办公室进化史,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787108067906 ,,,,给青年建筑师的信,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787549950928 ,,,,工作空间,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787547840931 ,,,,共建美丽家园,,,,,,,,,,,,,,,,,,,,,,,,
,3,9787559600097 ,,,,孤独的城市,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787560860558 ,,,,古城新生,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787112165384 ,,,,古典建筑的柱式规制,,,,,,,,,,,,,,,,,,,,,,,,
,3,9787559830166 ,,,,关键路径,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787544473873 ,,,,关系性存在：超越自我与共同体,,,,,,,,,,,,,,,,,,,,,,,,
,4,9787549558575 ,,,书架2 抽屉2,观看之道,,,,,,,,,,,,,,,,,,,,,,,,
,4,9789860114300 ,,,,国父纪念馆建馆始末——王大闳的妥协与磨难,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787510856693 ,,,,和纸之美,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787112030491 ,,,,黑川纪章,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787532176472 ,,,,后现代性下的生命与多重时间,,,,,,,,,,,,,,,,,,,,,,,,
,0,9787559627988 ,,,,花园里的哲学,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787561841976 ,,,,华夏意匠,,,,,,,,,,,,,,,,,,,,,,,,
,0,9787550292710 ,,,,画家之眼,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787532751549 ,,,,机场里的小旅行,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787112182701 ,,,,肌肤之目,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787521704709 ,,,,他者的消失,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787521704693 ,,,,倦怠社会,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787508697086 ,,,,爱欲之死,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787521710571 ,,,,透明社会,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787508696911 ,,,,在群中：数字媒体时代的大众心理学,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787568908474 ,,,,时间的味道,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787020145188 ,,,,健全的社会,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787532174973 ,,,,基本收入,,,,,,,,,,,,,,,,,,,,,,,,
,0,9787532137497 ,,,,记忆的群岛,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787514219753 ,,,,寂静的春天（平装）,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787201126906 ,,,,寂静的春天（精装）,,,,,,,,,,,,,,,,,,,,,,,,
,2,9787513914994 ,,,,寂静的深度：霍珀画谈,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787513319065 ,,,,家,46 ,,,,,,,,,,,,,,,,,,,,,,,
,1,9787567582224 ,,,,捡垃圾的人类学家,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787561134399 ,,,,建构建筑手册,,,,,,,,,,,,,,,,,,,,,,,,
,0,9787549596690 ,,,,建筑，从那一天开始,,,,,,,,,,,,,,,,,,,,,,,,
,1,9787568045759 ,,,,建筑、空间与流动性,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,建筑：形式、空间和秩序,,,,,,,,,,,,,,,,,,,,,,,,
